desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment,numOfRows,pageNo,totalCount,Column1
444450202101068 ,http://www.animal.go.kr/files/shelter/2021/12/202201041101258_s.jpg,2021-12-31,공주시 우금티터널,[개] 믹스견,갈색,2019,5,충남-공주-2022-00001,20220104,20220117,http://www.animal.go.kr/files/shelter/2021/12/202201041101258.png,종료(반환),M,N,[Table],공주시 동물보호소,041-853-7575,충청남도 공주시 감영길 7 (반죽동) ,충청남도 공주시,축산유통팀,041-840-8580,,999,1,8309,0
441559202101292 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501804_s.jpg,2021-12-31,장흥면 유원지로 89번길 90 인근,[개] 말티즈,흰,2020,3.2,경기-양주-2022-00005,20220104,20220114,http://www.animal.go.kr/files/shelter/2021/12/202201031501804.jpg,종료(입양),M,Y,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 양주시,양주시 동물보호팀,031-8082-7361,,999,1,8309,0
426328202100505 ,http://www.animal.go.kr/files/shelter/2021/12/202201040901435_s.jpg,2021-12-31,영도 동물병원,[개] 푸들,흰색,2020,3.2,부산-영도-2022-00001,20220104,20220114,http://www.animal.go.kr/files/shelter/2021/12/202201040901435.jpg,종료(반환),M,N,[Table],하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동) ,부산광역시 영도구,유혜정,051-419-6211,,999,1,8309,0
411306202100780 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501688_s.jpg,2021-12-31,동일로 140길 33 인근,[고양이] 한국 고양이,검,2020,2.8,서울-중랑-2022-00002,20220104,20220124,http://www.animal.go.kr/files/shelter/2021/12/202201031501688.jpg,종료(자연사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 ,서울특별시 중랑구,김가희,02-2094-0753,,999,1,8309,0
450650202105368 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901648_s.jpg,2021-12-31,제주시 삼도일동 서사로 4길 3,[고양이] 한국 고양이,회색,2021,3.2,제주-제주-2022-00011,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901648.jpg,종료(입양),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105367 ,http://www.animal.go.kr/files/shelter/2021/12/20220103090147_s.jpg,2021-12-31,제주시 도련일동 1636,[고양이] 한국 고양이,갈색,2022,1.1,제주-제주-2022-00010,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/20220103090147.jpg,종료(기증),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105366 ,http://www.animal.go.kr/files/shelter/2021/12/20220103090169_s.jpg,2021-12-31,제주시 구좌읍 김녕로 101,[고양이] 한국 고양이,흰갈,2020,3.6,제주-제주-2022-00009,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/20220103090169.jpg,종료(자연사),M,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105365 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901483_s.jpg,2021-12-31,제주시 해안동 해안마을 8길 17,[개] 믹스견,검흰,2022,10.4,제주-제주-2022-00008,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901483.jpg,종료(반환),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105364 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901771[1]_s.jpg,2021-12-31,제주시 봉개동 노루손이북길 6,[개] 믹스견,흰색,2022,10,제주-제주-2022-00007,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901771[1].jpg,종료(반환),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105363 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901129_s.jpg,2021-12-31,제주시 조천읍 조천리 2714 -5,[개] 믹스견,갈검,2020,24,제주-제주-2022-00006,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901129.jpg,종료(반환),M,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105362 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901510_s.jpg,2021-12-31,제주시 건입동 사라봉 7길 11,[개] 믹스견,흰색,2018,20,제주-제주-2022-00005,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901510.jpg,종료(안락사),M,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105361 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901749_s.jpg,2021-12-31,제주시 애월읍 세비데미길 58,[개] 믹스견,흰색,2021,12,제주-제주-2022-00004,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901749.jpg,종료(안락사),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105360 ,http://www.animal.go.kr/files/shelter/2021/12/20220103090154_s.jpg,2021-12-31,서귀포시 남원읍 태수로 143번길 71-6,[개] 믹스견,흰색,2022,0.1,제주-제주-2022-00003,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/20220103090154.jpg,종료(자연사),M,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105359 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901598_s.jpg,2021-12-31,"서귀포시 남원읍 태수로143번길 71-6	",[개] 믹스견,흰색,2021,17.2,제주-제주-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901598.jpg,종료(안락사),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
450650202105358 ,http://www.animal.go.kr/files/shelter/2021/12/202201030901183_s.jpg,2021-12-31,서귀포시 서귀동 587-43,[개] 포메라니안,갈색,2019,2.5,제주-제주-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201030901183.jpg,종료(반환),F,N,[Table],제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,제주동물보호센터,064-710-4065,,999,1,8309,0
448542202101085 ,http://www.animal.go.kr/files/shelter/2021/12/202201021401599_s.jpg,2021-12-31,상리 부포로36,[개] 진도견,흰색,2019,15,경남-고성-2022-00001,20220103,20220110,http://www.animal.go.kr/files/shelter/2021/12/202201021401599.jpg,종료(안락사),F,U,[Table],고성군유기동물보호소,055-670-4314,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,경상남도 고성군,김우영,055-670-4316,,999,1,8309,0
448535202101897 ,http://www.animal.go.kr/files/shelter/2021/12/202201031301773_s.jpg,2021-12-31,율하로 4836(장유동) 모산초,[고양이] 믹스묘,갈색+흰색,2022,0.5,경남-김해-2022-00011,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031301773.jpg,종료(자연사),M,U,[Table],누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) ,경상남도 김해시,김해시,055-350-4133,,999,1,8309,0
448535202101896 ,http://www.animal.go.kr/files/shelter/2021/12/202201031301543_s.jpg,2021-12-31,봉황동 69-20,[개] 믹스견,흰색,2016,12,경남-김해-2022-00010,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031301543.jpg,종료(자연사),F,U,[Table],누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) ,경상남도 김해시,김해시,055-350-4133,,999,1,8309,0
448535202101895 ,http://www.animal.go.kr/files/shelter/2021/12/202201031301618_s.jpg,2021-12-31,내외 119,[개] 말티즈,흰색,2010,5,경남-김해-2022-00009,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031301618.jpg,종료(반환),M,N,[Table],누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) ,경상남도 김해시,김해시,055-350-4133,,999,1,8309,0
441409202101735 ,http://www.animal.go.kr/files/shelter/2022/01/202201120901529_s.jpg,2021-12-31,산자뫼로 104번길 57 인근,[개] 믹스견,갈/흰,2018,18,경기-김포-2022-00008,20220103,20220113,http://www.animal.go.kr/files/shelter/2022/01/202201120901529.jpg,종료(안락사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441409202101734 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501144_s.jpg,2021-12-31,산자뫼로 104번길 57 인근,[개] 믹스견,갈/검/흰,2022,1.9,경기-김포-2022-00007,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501144.jpg,종료(안락사),M,N,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441409202101733 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501334_s.jpg,2021-12-31,대곶면 산자뫼로104번길 57 인근,[개] 믹스견,갈/검/흰,2022,1.5,경기-김포-2022-00006,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501334.jpg,종료(안락사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441409202101732 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501930_s.jpg,2021-12-31,대곶면 산자뫼로104번길 57 인근,[개] 믹스견,갈/검/흰,2022,1.5,경기-김포-2022-00005,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501930.jpg,종료(입양),M,N,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441409202101731 ,http://www.animal.go.kr/files/shelter/2021/12/20220103150163_s.jpg,2021-12-31,대곶면 산자뫼로104번길 57 인근,[개] 믹스견,갈/검/흰,2022,1.5,경기-김포-2022-00004,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/20220103150163.jpg,종료(안락사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441409202101730 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501723_s.jpg,2021-12-31,양촌읍 유현삭시로 241번길 63-11 인근,[개] 믹스견,검/흰,2022,2.3,경기-김포-2022-00003,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501723.jpg,종료(안락사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441409202101729 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501674_s.jpg,2021-12-31,양촌읍 유현삭시로 241번길 63-11 인근,[개] 믹스견,검/흰,2022,2,경기-김포-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501674.jpg,종료(안락사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
